Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
1 1000.00 1177.00 0.000000 ---
2 1000.00 1177.00 20.907690 50.0805 0.272176 18.2548 0.598229 0 3.13599 0 9.27508 0 0 16.6817 1.69608 0.00541844 0 0
3 1000.00 1177.00 20.907690 50.0805 0.272176 18.2548 0.598229 0 3.13599 0 9.27508 0 0 16.6817 1.69608 0.00541844 0 0
4 1000.00 1176.90 21.015731 50.0787 0.272535 18.2492 0.597986 0 3.14268 0 9.28322 0 0 16.6731 1.69709 0.00542709 0 0
5 1000.00 1176.80 21.123544 50.077 0.272896 18.2437 0.597746 0 3.14932 0 9.29123 0 0 16.6645 1.6981 0.00543575 0 0
6 1000.00 1176.70 21.231129 50.0754 0.273259 18.2383 0.597509 0 3.15592 0 9.29912 0 0 16.656 1.69911 0.00544444 0 0
7 1000.00 1176.60 21.338487 50.0737 0.273623 18.2329 0.597275 0 3.16248 0 9.30687 0 0 16.6476 1.70013 0.00545315 0 0
8 1000.00 1176.50 21.445619 50.0722 0.273989 18.2275 0.597045 0 3.16898 0 9.31451 0 0 16.6392 1.70116 0.00546188 0 0
9 1000.00 1176.40 21.552526 50.0706 0.274356 18.2222 0.596818 0 3.17545 0 9.32202 0 0 16.6309 1.70218 0.00547064 0 0
10 1000.00 1176.30 21.659208 50.0691 0.274724 18.217 0.596593 0 3.18187 0 9.32942 0 0 16.6226 1.70321 0.00547941 0 0
11 1000.00 1176.20 21.765667 50.0676 0.275094 18.2118 0.596372 0 3.18826 0 9.33669 0 0 16.6144 1.70425 0.0054882 0 0
12 1000.00 1176.10 21.871903 50.0661 0.275465 18.2067 0.596154 0 3.1946 0 9.34386 0 0 16.6063 1.70528 0.00549702 0 0
13 1000.00 1176.00 21.977917 50.0647 0.275838 18.2016 0.595939 0 3.2009 0 9.35091 0 0 16.5983 1.70632 0.00550585 0 0
14 1000.00 1175.90 22.083710 50.0633 0.276212 18.1966 0.595726 0 3.20716 0 9.35785 0 0 16.5903 1.70737 0.00551471 0 0
15 1000.00 1175.80 22.189282 50.0619 0.276587 18.1916 0.595517 0 3.21338 0 9.36468 0 0 16.5823 1.70842 0.00552359 0 0
16 1000.00 1175.70 22.294634 50.0606 0.276964 18.1867 0.59531 0 3.21956 0 9.3714 0 0 16.5744 1.70947 0.00553248 0 0
