System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
28 1000.00 1174.50 100.000000 0.7645799968083121 0.780673 -1237574.780522 262.311422 36.800786 140.026155 -212.120565 2537.951603 -9.643 -9.643 2.661316 2.916720 2.433 n/a n/a
29 1000.00 1174.40 100.000000 0.7635543507860715 0.779702 -1237626.393902 262.275767 36.797319 139.994297 -211.964453 2536.628697 -9.644 -9.644 2.661309 2.916780 2.434 n/a n/a
30 1000.00 1174.30 100.000000 0.7625307975445627 0.778732 -1237677.922378 262.240169 36.793859 139.962509 -211.808623 2535.308411 -9.645 -9.645 2.661302 2.916840 2.434 n/a n/a
31 1000.00 1174.20 100.000000 0.7615093298771066 0.777764 -1237729.366249 262.204627 36.790406 139.930792 -211.653076 2533.990736 -9.646 -9.646 2.661295 2.916900 2.434 n/a n/a
32 1000.00 1174.10 100.000000 0.7604899406063340 0.776797 -1237780.725813 262.169140 36.786960 139.899143 -211.497810 2532.675663 -9.647 -9.647 2.661288 2.916959 2.435 n/a n/a
33 1000.00 1174.00 100.000000 0.7594726225905649 0.775833 -1237832.001366 262.133709 36.783520 139.867564 -211.342824 2531.363181 -9.648 -9.648 2.661281 2.917017 2.435 n/a n/a
34 1000.00 1173.90 100.000000 0.7584573687267626 0.774870 -1237883.193204 262.098334 36.780087 139.836055 -211.188117 2530.053281 -9.649 -9.649 2.661274 2.917075 2.436 n/a n/a
35 1000.00 1173.80 100.000000 0.7574441719353067 0.773909 -1237934.301620 262.063014 36.776661 139.804614 -211.033689 2528.745955 -9.650 -9.650 2.661267 2.917132 2.436 n/a n/a
36 1000.00 1173.70 100.000000 0.7564330251752167 0.772950 -1237985.326905 262.027748 36.773241 139.773242 -210.879539 2527.441192 -9.651 -9.651 2.661260 2.917189 2.437 n/a n/a
37 1000.00 1173.60 100.000000 0.7554239214407023 0.771992 -1238036.269352 261.992538 36.769828 139.741938 -210.725665 2526.138983 -9.652 -9.652 2.661253 2.917245 2.437 n/a n/a
38 1000.00 1173.50 100.000000 0.7544168537524983 0.771037 -1238087.129249 261.957382 36.766421 139.710703 -210.572067 2524.839319 -9.653 -9.653 2.661246 2.917300 2.438 n/a n/a
39 1000.00 1173.40 100.000000 0.7534118151689626 0.770083 -1238137.906884 261.922281 36.763021 139.679535 -210.418743 2523.542191 -9.654 -9.654 2.661239 2.917356 2.438 n/a n/a
40 1000.00 1173.30 100.000000 0.7524087987780093 0.769130 -1238188.602546 261.887234 36.759628 139.648435 -210.265694 2522.247589 -9.654 -9.654 2.661232 2.917410 2.438 n/a n/a
41 1000.00 1173.20 100.000000 0.7514077976995596 0.768180 -1238239.216518 261.852241 36.756241 139.617403 -210.112917 2520.955505 -9.655 -9.655 2.661225 2.917464 2.439 n/a n/a
42 1000.00 1173.10 100.000000 0.7504088050870386 0.767231 -1238289.749085 261.817302 36.752860 139.586438 -209.960413 2519.665929 -9.656 -9.656 2.661218 2.917518 2.439 n/a n/a
43 1000.00 1173.00 100.000000 0.7494118141238002 0.766284 -1238340.200531 261.782416 36.749487 139.555540 -209.808180 2518.378852 -9.657 -9.657 2.661211 2.917572 2.440 n/a n/a
44 1000.00 1172.90 100.000000 0.7484168180249084 0.765339 -1238390.571137 261.747584 36.746119 139.524708 -209.656217 2517.094265 -9.658 -9.658 2.661204 2.917624 2.440 n/a n/a
45 1000.00 1172.80 100.000000 0.7474238100396891 0.764396 -1238440.861182 261.712805 36.742758 139.493943 -209.504524 2515.812159 -9.659 -9.659 2.661197 2.917677 2.441 n/a n/a
46 1000.00 1172.70 100.000000 0.7464327834446862 0.763454 -1238491.070948 261.678080 36.739403 139.463244 -209.353099 2514.532526 -9.660 -9.660 2.661190 2.917729 2.441 n/a n/a
47 1000.00 1172.60 100.000000 0.7454437315473986 0.762514 -1238541.200710 261.643407 36.736055 139.432612 -209.201942 2513.255356 -9.661 -9.661 2.661183 2.917780 2.442 n/a n/a
48 1000.00 1172.50 100.000000 0.7444566476910391 0.761575 -1238591.250746 261.608787 36.732713 139.402045 -209.051052 2511.980640 -9.662 -9.662 2.661176 2.917831 2.442 n/a n/a
49 1000.00 1172.40 100.000000 0.7434715252415868 0.760639 -1238641.221331 261.574220 36.729377 139.371544 -208.900428 2510.708370 -9.663 -9.663 2.661169 2.917882 2.442 n/a n/a
50 1000.00 1172.30 100.000000 0.7424883576032134 0.759703 -1238691.112738 261.539705 36.726048 139.341108 -208.750070 2509.438537 -9.664 -9.664 2.661162 2.917932 2.443 n/a n/a
51 1000.00 1172.20 100.000000 0.7415071382066499 0.758770 -1238740.925242 261.505242 36.722725 139.310737 -208.599975 2508.171132 -9.665 -9.665 2.661155 2.917982 2.443 n/a n/a
52 1000.00 1172.10 100.000000 0.7405278605113336 0.757839 -1238790.659113 261.470831 36.719409 139.280431 -208.450144 2506.906146 -9.666 -9.666 2.661148 2.918032 2.444 n/a n/a
53 1000.00 1172.10 100.000000 0.7874263231002888 0.802468 -1234948.711417 263.042745 36.921416 140.403806 -219.495610 2593.941005 -9.955 -9.955 2.657686 2.914705 2.457 n/a n/a
54 1000.00 1172.10 100.000000 0.7874263231002888 0.802468 -1234948.711417 263.042745 36.921416 140.403806 -219.495610 2593.941005 -9.955 -9.955 2.657686 2.914705 2.457 n/a n/a
55 1000.00 1172.00 100.000000 0.7864106835733846 0.801511 -1234999.978876 263.007271 36.917986 140.372277 -219.340597 2592.630584 -9.957 -9.957 2.657675 2.914775 2.457 n/a n/a
56 1000.00 1171.90 100.000000 0.7853970491957114 0.800555 -1235051.164959 262.971851 36.914562 140.340815 -219.185855 2591.322662 -9.958 -9.958 2.657665 2.914843 2.458 n/a n/a
57 1000.00 1171.80 100.000000 0.7843854131746881 0.799601 -1235102.269946 262.936484 36.911144 140.309420 -219.031383 2590.017232 -9.959 -9.959 2.657655 2.914911 2.458 n/a n/a
58 1000.00 1171.70 100.000000 0.7833757687486211 0.798649 -1235153.294120 262.901170 36.907733 140.278092 -218.877181 2588.714284 -9.960 -9.960 2.657645 2.914979 2.459 n/a n/a
59 1000.00 1171.60 100.000000 0.7823681091867883 0.797698 -1235204.237759 262.865910 36.904328 140.246830 -218.723248 2587.413810 -9.961 -9.961 2.657635 2.915046 2.459 n/a n/a
60 1000.00 1171.50 100.000000 0.7813624277882023 0.796749 -1235255.101141 262.830704 36.900930 140.215635 -218.569582 2586.115800 -9.962 -9.962 2.657624 2.915112 2.460 n/a n/a
61 1000.00 1171.40 100.000000 0.7803587178844010 0.795802 -1235305.884543 262.795550 36.897538 140.184506 -218.416183 2584.820245 -9.963 -9.963 2.657614 2.915177 2.460 n/a n/a
62 1000.00 1171.30 100.000000 0.7793569728363150 0.794856 -1235356.588240 262.760448 36.894153 140.153442 -218.263050 2583.527138 -9.964 -9.964 2.657604 2.915242 2.461 n/a n/a
63 1000.00 1171.20 100.000000 0.7783571860327871 0.793912 -1235407.212507 262.725400 36.890773 140.122445 -218.110181 2582.236468 -9.965 -9.965 2.657594 2.915306 2.461 n/a n/a
64 1000.00 1171.10 100.000000 0.7773593508939228 0.792970 -1235457.757618 262.690404 36.887400 140.091512 -217.957578 2580.948227 -9.966 -9.966 2.657583 2.915369 2.462 n/a n/a
65 1000.00 1171.00 100.000000 0.7763634608712098 0.792030 -1235508.223843 262.655459 36.884034 140.060645 -217.805237 2579.662407 -9.967 -9.967 2.657573 2.915432 2.462 n/a n/a
66 1000.00 1170.90 100.000000 0.7753695094435420 0.791091 -1235558.611453 262.620567 36.880674 140.029842 -217.653159 2578.378999 -9.968 -9.968 2.657563 2.915494 2.462 n/a n/a
67 1000.00 1170.80 100.000000 0.7743774901178094 0.790154 -1235608.920719 262.585727 36.877319 139.999104 -217.501343 2577.097994 -9.969 -9.969 2.657553 2.915556 2.463 n/a n/a
68 1000.00 1170.70 100.000000 0.7733873964342407 0.789218 -1235659.151907 262.550939 36.873972 139.968431 -217.349787 2575.819383 -9.970 -9.970 2.657543 2.915617 2.463 n/a n/a
69 1000.00 1170.60 100.000000 0.7723992219578723 0.788284 -1235709.305286 262.516202 36.870630 139.937822 -217.198492 2574.543158 -9.971 -9.971 2.657532 2.915678 2.464 n/a n/a
70 1000.00 1170.50 100.000000 0.7714129602860098 0.787352 -1235759.381120 262.481516 36.867295 139.907276 -217.047455 2573.269311 -9.972 -9.972 2.657522 2.915738 2.464 n/a n/a
71 1000.00 1170.40 100.000000 0.7704286050407174 0.786421 -1235809.379676 262.446881 36.863965 139.876795 -216.896677 2571.997833 -9.973 -9.973 2.657512 2.915797 2.465 n/a n/a
72 1000.00 1170.30 100.000000 0.7694461498774319 0.785492 -1235859.301216 262.412297 36.860642 139.846377 -216.746157 2570.728715 -9.974 -9.974 2.657502 2.915856 2.465 n/a n/a
73 1000.00 1170.20 100.000000 0.7684655884758058 0.784565 -1235909.146002 262.377765 36.857325 139.816022 -216.595893 2569.461950 -9.975 -9.975 2.657491 2.915915 2.466 n/a n/a
74 1000.00 1170.10 100.000000 0.7674869145449212 0.783639 -1235958.914297 262.343282 36.854014 139.785731 -216.445885 2568.197528 -9.976 -9.976 2.657481 2.915972 2.466 n/a n/a
